x,original_y,salted_y,smoothed_y
39.000000,33911860.000000,65879709.686419,34783579.205252
40.000000,25247630.000000,14048912.212717,30806900.730097
41.000000,36059610.000000,28761544.830711,37207428.263979
42.000000,36592940.000000,36221184.014266,29054853.460724
43.000000,23334000.000000,64211268.675113,30887688.216426
44.000000,12119710.000000,-22586335.220784,20501111.941873
45.000000,24677880.000000,6917463.162352,20577486.322468
46.000000,69032740.000000,81880179.070511,30058463.933400
47.000000,24626950.000000,-10205933.564727,24128776.362906
48.000000,29024690.000000,26653616.259374,34292548.614204
49.000000,28575800.000000,53818553.294406,32005122.232407
50.000000,32081110.000000,41292800.244518,36863779.667739
51.000000,33432810.000000,9282907.275819,32452156.946581
52.000000,34437040.000000,49312373.594153,34003449.102155
53.000000,19723390.000000,39718916.563092,26600519.912982
54.000000,22632380.000000,10526246.284620,28365299.607946
55.000000,32182650.000000,-896579.095845,28237190.778348
56.000000,26547490.000000,80349162.133928,38650677.352344
57.000000,18661340.000000,49946720.615498,34753787.765904
58.000000,16810390.000000,-9059132.239887,30517078.096379
59.000000,29377270.000000,26473100.040216,29702942.921985
60.000000,23693550.000000,68085354.725982,28625026.244531
61.000000,11654360.000000,18799393.311781,28715764.593374
62.000000,16386120.000000,-25374911.170074,22260844.052675
63.000000,26334880.000000,77933026.058165,30462354.615776
64.000000,21029520.000000,36156225.675127,24039515.832120
65.000000,16331260.000000,-19933985.420407,22473874.293891
66.000000,30348780.000000,26946204.144449,22364860.899995
67.000000,26609920.000000,58416703.874764,21640886.810753
68.000000,19069600.000000,4484441.126777,19702675.679417
69.000000,21700900.000000,-21301752.482833,10229925.211581
70.000000,25093670.000000,57145010.713258,11186268.788206
71.000000,22395560.000000,-7348308.426294,2396591.383516
72.000000,25817590.000000,-38852031.155146,6097001.927573
73.000000,21847230.000000,34506663.378006,12956525.198548
74.000000,20507460.000000,57702949.373627,24656760.819174
75.000000,17520500.000000,-16106127.746749,22363042.831901
76.000000,23735080.000000,39572597.054161,31203638.032179
77.000000,18966120.000000,44428168.260339,28003198.170376
78.000000,19974430.000000,27840725.746762,36805807.975493
79.000000,25817950.000000,11822413.742705,39060796.336020
80.000000,37781330.000000,81977130.794110,52525922.616537
81.000000,34790520.000000,65355296.984370,46362057.047161
82.000000,31130520.000000,34341865.280938,45303399.756865
83.000000,35709870.000000,-2859968.258661,27492523.855309
84.000000,24143240.000000,76536012.231321,33629621.438389
